image,name,category,location,color,size,amount,comments,claimed,hidden
"('src', 'https://drive.google.com/thumbnail?id=11fmXBNdFc-LP2mz8SFTMhw2OxtD8nzDp&sz=w200-h200')",Cap,Hat,29 - hats,White,,,Beach summer tennis hockey golf ,None,0
"('src', 'https://drive.google.com/thumbnail?id=1aFWWyURK2AZ5pItH19BlXiJDXKhhkyrb&sz=w200-h200')",egg,Food (fake),25.1 - food and cooking,beige,,12,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1NOx-FhcQxqRASD31sSykcOO2DhRjUQkB&sz=w200-h200')",Beanie winter hat,Hat,29 - hats,White,,,Skater ski snowboard hacker snob,None,0
"('src', 'https://drive.google.com/thumbnail?id=1ubyjwWSiVvvD-MEDD5AqnGtb_6WfScyT&sz=w200-h200')",strawberry ,Food (fake),25.1 - food and cooking,red,,23,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1lgUw0JQk9zswmzr3Gofn1VDDuG5Kqb9O&sz=w200-h200')",radish,Food (fake),25.1 - food and cooking,red,,11,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1lTs0Nm40KAH9XOruilImw4KcGbevAvVj&sz=w200-h200')",Hat,Hat,29 - hats,Red green,,,Christmas,None,0
"('src', 'https://drive.google.com/thumbnail?id=1VcXDpPf4tm9o-f0wGcjrpZdvvxWSoFT8&sz=w200-h200')",bonbon,Food (fake),25.1 - food and cooking,brown ,,14,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1SOdxHFtL4ZK8ORex-nfrqbRi9Wdcq6Sx&sz=w200-h200')",party hat confetti pattern ,Hat,29 - hats,white with coloured ovals,,8,"With rubber string to keep it on head. 
Toy dog not included. ",None,0
"('src', 'https://drive.google.com/thumbnail?id=1eRXwACBkIhDOmWUs8o5jUQEwMHLb3sot&sz=w200-h200')",Glitter hat,Hat,29 - hats,Purple,,,Pimp disco funky 80s,None,0
"('src', 'https://drive.google.com/thumbnail?id=1BjrCpHpFmFhViAyBu83bIFfRirrhQ_Ti&sz=w200-h200')",lettuce leaf,Food (fake),25.1 - food and cooking,green,,5,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1lHHUPdaACPceG-UV5-xX827QCd5jJiFg&sz=w200-h200')",chocolate cupcake ,Food (fake),25.1 - food and cooking,brown ,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1iCOHZtCm-QVvHpBerd8RDCn_3Py76TQz&sz=w200-h200')",cupcake,Food (fake),25.1 - food and cooking,pink,,10,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1FLhnxXkKKFklFfl5k3QfP5P-Q2ahw4fh&sz=w200-h200')",Bowler hat flowers bow,Top,29 - hats,Black blue,,,Lady catherine de bourgh,None,0
